Imagen,Frontal,Metricas
00_17_1680262497329_rgb.png,NO,Dev:0.25 Ratio:0.59
00_17_1680262655675_rgb.png,NO,Dev:6.78 Ratio:0.04
00_17_1680259641965_rgb.png,SÍ,Dev:0.02 Ratio:0.54
00_17_1680259646481_rgb.png,SÍ,Dev:0.05 Ratio:0.54
00_17_1680262349817_rgb.png,SÍ,Dev:0.12 Ratio:0.51
00_17_1680259464327_rgb.png,NO,Dev:1.94 Ratio:0.11
00_17_1680259636244_rgb.png,SÍ,Dev:0.02 Ratio:0.56
00_17_1680259750957_rgb.png,NO,Dev:20.60 Ratio:0.01
00_17_1680259622696_rgb.png,SÍ,Dev:0.00 Ratio:0.56
00_17_1680259574831_rgb.png,NO,Dev:3.04 Ratio:0.07
00_17_1680262431703_rgb.png,SÍ,Dev:0.07 Ratio:0.53
00_17_1680262457894_rgb.png,NO,Dev:0.19 Ratio:0.52
00_17_1680259786183_rgb.png,NO,Dev:3.59 Ratio:0.09
00_17_1680262331754_rgb.png,NO,Dev:0.75 Ratio:0.21
00_17_1680262208933_rgb.png,NO,Dev:19.41 Ratio:0.01
00_17_1680262597576_rgb.png,NO,Dev:0.86 Ratio:0.19
00_17_1680262176121_rgb.png,NO,Dev:11.52 Ratio:0.02
00_17_1680262266127_rgb.png,NO,Dev:49.45 Ratio:0.00
00_17_1680262392867_rgb.png,SÍ,Dev:0.05 Ratio:0.52
00_17_1680262221575_rgb.png,NO,Dev:75.72 Ratio:0.00
00_17_1680259742828_rgb.png,NO,Dev:22.18 Ratio:0.01
00_17_1680262397082_rgb.png,SÍ,Dev:0.10 Ratio:0.54
00_17_1680262647849_rgb.png,NO,Dev:2.07 Ratio:0.11
00_17_1680262393168_rgb.png,SÍ,Dev:0.06 Ratio:0.52
00_17_1680259489323_rgb.png,NO,Dev:95.36 Ratio:0.00
00_17_1680262497630_rgb.png,NO,Dev:0.20 Ratio:0.57
00_17_1680259519737_rgb.png,NO,Dev:3.43 Ratio:0.06
00_17_1680262253183_rgb.png,NO,Dev:3.36 Ratio:0.05
00_17_1680259696460_rgb.png,SÍ,Dev:0.04 Ratio:0.54
00_17_1680262594264_rgb.png,NO,Dev:0.99 Ratio:0.18
00_17_1680259669063_rgb.png,SÍ,Dev:0.00 Ratio:0.57
00_17_1680259598311_rgb.png,NO,Dev:1.23 Ratio:0.21
00_17_1680262354934_rgb.png,SÍ,Dev:0.08 Ratio:0.51
00_17_1680262368481_rgb.png,SÍ,Dev:0.05 Ratio:0.54
00_17_1680259628718_rgb.png,SÍ,Dev:0.05 Ratio:0.56
00_17_1680262565666_rgb.png,NO,Dev:4.67 Ratio:0.05
00_17_1680259554962_rgb.png,NO,Dev:7.42 Ratio:0.03
00_17_1680259766010_rgb.png,NO,Dev:6.29 Ratio:0.03
00_17_1680262533755_rgb.png,SÍ,Dev:0.10 Ratio:0.53
00_17_1680262624669_rgb.png,NO,Dev:1.92 Ratio:0.12
00_17_1680262277565_rgb.png,NO,Dev:7.40 Ratio:0.03
00_17_1680262449766_rgb.png,SÍ,Dev:0.07 Ratio:0.46
00_17_1680259716030_rgb.png,NO,Dev:4.54 Ratio:0.06
00_17_1680259810870_rgb.png,NO,Dev:2.95 Ratio:0.19
00_17_1680262658986_rgb.png,NO,Dev:8.63 Ratio:0.05
00_17_1680259569713_rgb.png,NO,Dev:5.14 Ratio:0.07
00_17_1680259708804_rgb.png,SÍ,Dev:0.13 Ratio:0.55
00_17_1680262252581_rgb.png,NO,Dev:4.68 Ratio:0.04
00_17_1680259596505_rgb.png,NO,Dev:25.54 Ratio:0.01
00_17_1680259697062_rgb.png,SÍ,Dev:0.07 Ratio:0.54
00_17_1680259508899_rgb.png,NO,Dev:1.35 Ratio:0.09
00_17_1680262710768_rgb.png,NO,Dev:3.56 Ratio:0.07
00_17_1680262391964_rgb.png,SÍ,Dev:0.07 Ratio:0.51
00_17_1680262240841_rgb.png,NO,Dev:3.37 Ratio:0.05
00_17_1680262396480_rgb.png,SÍ,Dev:0.05 Ratio:0.53
00_17_1680259643470_rgb.png,SÍ,Dev:0.01 Ratio:0.55
00_17_1680259488721_rgb.png,NO,Dev:4.42 Ratio:0.05
00_17_1680259536297_rgb.png,NO,Dev:1.81 Ratio:0.13
00_17_1680262369083_rgb.png,SÍ,Dev:0.00 Ratio:0.52
00_17_1680262356138_rgb.png,SÍ,Dev:0.10 Ratio:0.52
00_17_1680262640021_rgb.png,NO,Dev:2.22 Ratio:0.11
00_17_1680262570180_rgb.png,NO,Dev:4.37 Ratio:0.05
00_17_1680262332657_rgb.png,NO,Dev:8.74 Ratio:0.02
00_17_1680262333259_rgb.png,NO,Dev:7.41 Ratio:0.03
00_17_1680262205321_rgb.png,NO,Dev:33.56 Ratio:0.01
00_17_1680262438025_rgb.png,SÍ,Dev:0.06 Ratio:0.52
00_17_1680262264923_rgb.png,NO,Dev:3.46 Ratio:0.05
00_17_1680259575132_rgb.png,NO,Dev:2.12 Ratio:0.12
00_17_1680259704589_rgb.png,SÍ,Dev:0.04 Ratio:0.55
00_17_1680262235423_rgb.png,NO,Dev:36.96 Ratio:0.01
00_17_1680259576035_rgb.png,NO,Dev:6.42 Ratio:0.04
00_17_1680259819599_rgb.png,NO,Dev:6.21 Ratio:0.05
00_17_1680259508598_rgb.png,NO,Dev:4.23 Ratio:0.04
00_17_1680262617143_rgb.png,NO,Dev:32.06 Ratio:0.01
00_17_1680262510275_rgb.png,SÍ,Dev:0.04 Ratio:0.51
00_17_1680262192077_rgb.png,NO,Dev:7.55 Ratio:0.02
00_17_1680259595903_rgb.png,NO,Dev:3.36 Ratio:0.07
00_17_1680259557371_rgb.png,NO,Dev:1.73 Ratio:0.12
00_17_1680262739968_rgb.png,SÍ,Dev:0.06 Ratio:0.53
00_17_1680259465230_rgb.png,NO,Dev:2.45 Ratio:0.08
00_17_1680262214051_rgb.png,NO,Dev:6.39 Ratio:0.03
00_17_1680259574530_rgb.png,NO,Dev:7.61 Ratio:0.03
00_17_1680262677956_rgb.png,NO,Dev:5.22 Ratio:0.04
00_17_1680259610053_rgb.png,SÍ,Dev:0.03 Ratio:0.55
00_17_1680262482878_rgb.png,NO,Dev:0.25 Ratio:0.59
00_17_1680262428091_rgb.png,SÍ,Dev:0.01 Ratio:0.50
00_17_1680262597877_rgb.png,NO,Dev:0.77 Ratio:0.20
00_17_1680262392566_rgb.png,SÍ,Dev:0.05 Ratio:0.52
00_17_1680262616541_rgb.png,NO,Dev:23.72 Ratio:0.01
00_17_1680262647548_rgb.png,NO,Dev:1.67 Ratio:0.14
